"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Search with invalid data: NonExistentRandomTerm1234","10709","@smoke Search with invalid data","Desktop Chrome","Mon Jun 16 02:11:57 UTC 2025","passed","Mon Jun 16 02:12:07 UTC 2025","","tests/search-input.spec.ts","",""
"Search with valid data: scikit","18017","@smoke Catalog Search Functionality With Valid Data","Desktop Chrome","Mon Jun 16 02:11:27 UTC 2025","passed","Mon Jun 16 02:11:45 UTC 2025","","tests/search-input.spec.ts","",""
